english,japanese,pos,en_sentence,jp_sentence
contribution,寄付,名詞,Your contribution to the school is tax-deductible.,学校に対するあなたの寄付は、所得控除の対象になる。
convince,納得させる,動詞,I could not convince him of his mistake.,わたしは彼に彼の誤りを悟らせる事ができなかった。
cope,対処する,動詞,You have to cope with those difficult problems.,君はそれらの難問題に対処しなくてはならない。
copy,写す； コピーする； まねる,動詞,The picture you are looking at is a copy of a Picasso.,君が見ている絵はピカソの複製だ。
correct,正しい，訂正する,形容詞,"If you see a mistake, then please correct it.",もし間違いを見つけたら訂正してください。
cough,咳をする,動詞,Do you have any cough medicine?,咳止めはありますか。
council,評議会,名詞,The environment was the focus of student council activities.,環境問題が私たちの学生評議会活動の中心だった。
counter,反論，反論する,動詞,Where is the counter to pay my bill?,会計の窓口はどこですか。
county,郡；州,名詞,These smaller parts are called counties.,その小さな地方は州（カウンティ）と呼ばれています。
cow,牛,名詞,You cannot sell the cow and drink the milk.,牛を売って牛乳は飲めない。
crack,割れる，割れ目,動詞,The ice will crack beneath our weight.,我々の重みで氷が割れるだろう。
crash,衝突する,動詞,The stock market crash forced many retirees back into the job market.,株式市場の暴落で、定年退職者の多くが労働市場に戻らざるを得なかった。
cream,クリーム,名詞,There is nothing like ice cream in the summer.,夏はアイスクリームに限る。
create,作り出す；創造する,動詞,Can we create something out of nothing?,我々は、無から有を作り出すことができるだろうか。
creation,創造,名詞,Scientific truth is a creation of the human mind.,科学的心理は人間精神の創造物である。
creative,創造力のある,形容詞,Machinery robs work of creative interest.,機械は仕事から創造的な興味を奪う。
creature,生き物,名詞,"If it were not for water, no creature could live.",もし水がなければいかなる生き物も生きられないでしょう。
credit,クレジット；信用,名詞,Can I pay by credit card?,カードで支払えますか。
criminal,犯罪の，犯人,形容詞,"That is a criminal offense, and you will surely be punished!",それは犯罪行為です。本当に罰せられますよ！
crowd,群衆，群がる；押す,名詞,The excited crowd poured out of the stadium.,興奮した群衆が競技場から溢れ出てきた。
cultural,文化的な,形容詞,What do you mean by cultural relativism?,「文化相対主義」とはどういう意味ですか。
culture,文化；教養,名詞,In a foreign country most of us go through culture shock.,外国に行くと我々は大抵カルチャーショックを体験する。
curious,好奇心がある,形容詞,A curious disease struck the town.,奇妙な病気が町を襲った。
current,現在の,形容詞,Everyone of us will have to accept the current of the times.,だれしも世の風潮には抵抗しがたいものだ。
currently,現在,副詞,We are currently experiencing some turbulence.,ただ今気流の関係で揺れております。
customer,顧客,名詞,The customer did not come.,客はやってこなかった。
damage,損害，損害を与える,名詞,Smoking does damage your lungs.,喫煙はあなたの肺をボロボロにする。
dare,あえて～する,動詞,How dare you say such a thing to me?,君はどうして私にそんなことが言えるのか。
debt,借金,名詞,Our debt is more than we can pay.,我々の借金は我々の返済能力を超えている。
december,12月,名詞,"It all started in Montgomery, Alabama, on December 1, 1955.",すべての発端は、１９５５年１２月１日、アラバマ州モントゴメリーで起こった事件であった。
decision,決定,名詞,Your decision is open to some debate.,君の決定には多少の議論の余地があるね。
defense,防衛,名詞,Our combined fleet broke through the enemy's defense zone.,わが連合艦隊は敵の防衛海域を突破した。
delight,大喜び，喜ばせる,名詞,Dancing is a delight to me.,ダンスは私にとって楽しみだ。
deliver,配達する；伝える；出産する,動詞,I am counting on you to deliver the opening address.,私は君に開会の挨拶をしてもらおうと当てにしています。
delivery,配達；話し方；出産,名詞,A delivery man is dropping off an arrangement of artificial flowers.,業者が造花の花束を届けて飾っている。
deny,否定する,動詞,Do you deny that you went there?,君はそこに行ったことを否定するのですか。
department,部門；局；課；学科,名詞,Where's the nearest department store?,一番近いデパートはどこにありますか。
depress,落ち込ませる,動詞,Rain doesn't depress people who like reading.,雨が降っても読書の好きな人は気がめいらない。
depression,不景気；うつ病；衰弱,名詞,I suffer from depression during the wintertime.,冬になると気がふさぐ。
describe,説明する；描写する,動詞,Can you describe the object?,その物体がどんな物か言い表す事が出来ますか。
desert,砂漠,名詞,A camel is to the desert what a ship is to the sea.,ラクダと砂漠の関係は、船と海の関係と同じである。
deserve,値する,動詞,You deserve the prize.,君にはその賞を取るに値する。
design,図案；設計図；計画，デザインする；考案する,動詞,I can't think about the design any more.,もうこれ以上、デザインを考えられない。
designer,デザイナー,名詞,Fashion designers are breaking with tradition.,ファッション・デザイナーたちは伝統を打破しています。
desire,望む；強く欲する，欲望；願望,動詞,We all desire success.,我々はみな成功を望む。
desk,机,名詞,Clear up your desk a bit.,机を少しは片づけなさい。
destroy,破壊する,動詞,We think nuclear weapons will destroy our earth.,核兵器はわが地球を滅ぼすと思う。
detail,細部；詳細，詳しく述べる,名詞,Attention should be paid to even the smallest detail of the report.,その報告書はどんな小さな点にも関心を向けるべきだ。
detect,見つける；検出する,動詞,The computer can detect 200 types of error.,そのコンピューターは２００種類の間違いを探せる。
determination,決意,名詞,He made a determination to be a doctor.,彼は医者になる決心をした。
determine,決定する,動詞,No one can determine the amount of money we waste in a year.,一年間で浪費するはした金がいくらになるか、だれにも決めかねる。
develop,発達する；開発する,動詞,Why didn't modern technology develop in China?,近代科学技術はなぜ中国で発展しなかったのだろうか。
diet,食事，ダイエットする,動詞,An orderly lifestyle and a regular diet are the keys to health.,規則正しい生活、食事が健康の秘訣です。
direct,直接的な；率直な,動詞,"I stepped outside and was bathed in the harsh, direct sunlight.",外に出ると強い日差しにカッと照らされた。
direction,方向,名詞,What direction does your house face?,君の家はどちらの方向に面していますか。
directly,直接に,副詞,Mayuko came directly home.,マユコはまっすぐ帰宅した。
director,(会社の)重役；所長；監督,名詞,The director cast me as the devil.,監督は私に悪魔の役をくれた。
disappear,消える,動詞,The fog began to disappear around ten o'clock.,１０時頃になって霧が消え始めた。
disappoint,失望させる,動詞,I'll try not to disappoint you next time.,今度はがんばります。
discipline,規律；訓練；分野，律する,名詞,School discipline is not as it should be.,学校の規律が乱れている。
discuss,議論する,動詞,Let's discuss your love problems on the way back from school.,君の恋愛問題は学校から帰る道々話しましょう。
discussion,議論,名詞,"When the excitement died down, the discussion resumed.",奮闘がおさまると、話し合いが再び始まった。
disease,病気,名詞,A curious disease struck the town.,奇妙な病気が町を襲った。
dish,皿；料理,名詞,Nothing is so tasty as the dish you make.,君が作る料理ほどおいしいものはない。
distance,距離,名詞,The school is within walking distance of my house.,学校は家から歩いていける距離です。
district,地区,名詞,The panic spread through the district in an instant.,たちまちその地域一帯に恐怖が広まった。
disturb,乱す；妨げる,動詞,I'll do my best not to disturb your studying.,あなたの勉強を邪魔しないようにします。
divide,分ける；分割する,動詞,Oceans do not so much divide the world as unite it.,海は世界を分けるのではなく、むしろ結びつけるものです。
divorce,離婚する,名詞,I got word that Mary wants to divorce him.,メアリーは離婚したがっているらしいという話だぜ。
dollar,ドル,名詞,The bank will cash your fifty dollar check.,銀行に行けばその５０ドルの小切手を現金に換えてくれる。
dozen,1ダース,名詞,How many dozen pencils do you have?,鉛筆を何ダース持っていますか。
drag,引っ張る,動詞,"The children will be a drag on me, so I want to go without them.",子供を連れていくと足手まといになる。
drama,劇；ドラマ,名詞,Bob is in the drama club.,ボブは演劇部にはいります。
dramatic,劇的な ,形容詞,Don't take that dramatic attitude all of a sudden.,急に芝居がかった態度をとるな。
dramatically,劇的に,副詞,The Nikkei index jumped dramatically just before closing.,日経指数は大引け間際に大きく跳ね上がりました。
dust,ほこり,名詞,Brush off the dust from your shoes.,靴のほこりをはけではらいなさい。
duty,義務,名詞,The police officer on duty sensed an elderly man coming up behind him.,勤務中の警官は、一人のお年寄りが自分の背後に近づいてくるのを感じた。
earn,稼ぐ,動詞,"America is a lovely place to be, if you are here to earn money.",お金を稼ぎたいならアメリカが一番だ。
ease,気楽さ；容易さ,名詞,You can't feel at ease with a headache.,君は頭痛がしていてはくつろげるはずが無い。
economic,経済の,形容詞,More money for education will spur economic growth.,教育にもっとお金をかければ、経済成長に拍車がかかるだろう。
economy,経済,名詞,Tourism is important to the economy of my country.,観光は私の国の経済にとって重要です。
edit,編集する,動詞,"Click on ""edit mode"".",編集モードをクリックする。
editor,編集者,名詞,The editor and the publisher are both my cousins.,その編集者と発行者はふたりとも私のいとこです。
effect,効果,名詞,Smoking has an ill effect upon health.,喫煙は体に弊害である。
effort,努力,名詞,You should make an effort to stop smoking.,君は禁煙するよう努力すべきだ。
elderly,年配の,副詞,The police officer on duty sensed an elderly man coming up behind him.,勤務中の警官は、一人のお年寄りが自分の背後に近づいてくるのを感じた。
elect to,選ぶ,動詞,He has been elected to Congress.,彼は国会へ選出された。
election,選挙,名詞,It is said that there will be an election soon.,近いうちに選挙があるそうだ。
electric,電気の,形容詞,The strong wind cut the electric wires in several places.,強風のため電線が数箇所で切断された。
electricity,電気,名詞,Not a day passes in which we don't use electricity in our daily lives.,われわれの日常生活で電気を利用しない日は一日もない。
embarrass,恥ずかしがらせる,動詞,I didn't mean to embarrass you.,あなたに恥をかかせるつもりはありませんでした。
emotion,感情,名詞,So great was his emotion that he could not utter a word.,彼の感動は大きくて一言も発することはできなかった。
emotional,感情の,形容詞,This job makes tremendous claims on our emotional strength.,この仕事をするには我々が非常に気持ちをしっかり持つことが必要だ。
empire,帝国,名詞,Romans did not want their empire to decline; but it did.,ローマ人は自分たちの帝国が滅びることを望まなかった。しかしそれは滅びてしまった。
encourage,励ます；奨励する,動詞,It is necessary for you to go and encourage the girl.,君が行ってあの子を元気づけてやることが必要なんだ。
enemy,敵,名詞,The best is often the enemy of the good.,最善はしばしば善の敵である。
energy,精力；エネルギー,名詞,There will be an energy crisis in the near future.,近い将来エネルギー危機が起こるだろう。
engage,従事する；かみ合う,動詞,I have no time to engage in gossip.,噂話のお相手をしている暇はない。
engineer,エンジニア；技師,名詞,The engineer seeks not so much to know nature as to make use of it.,技術者は自然を知ろうとするよりはむしろ利用しようとする。
enormous,巨大な,形容詞,There was an enormous traffic jam in downtown Kyoto.,京都の繁華街は交通渋滞がすごかった。
entertain,もてなす,動詞,Now let me entertain you with music.,それでは音楽をお楽しみください。
entertainment,エンターテイメント； 娯楽 ,名詞,The entertainment expense was borne by our group.,接待費はうちのグループが負担させられた。
entire,全体の；完全な,形容詞,"During the vacation, I read the entire works of Milton.",休暇中にミルトンの全作品を読んだ。
entirely,全く,副詞,Your guess is entirely off the mark.,君の推測はまったく的外れだ。
envelope,封筒,名詞,Who has torn the envelope open?,だれがこの封筒を破って開けたのか。
environment,環境,名詞,The environment was the focus of student council activities.,環境問題が私たちの学生評議会活動の中心だった。
environmental,環境の；環境保護の,形容詞,How to deal with environmental pollution is a serious matter.,環境汚染にいかに取り組むかは深刻な問題である。
equal,等しい,形容詞,He is equal to the task.,彼はその仕事をやる能力がある。
equally,同様に；等しく,副詞,The property was divided equally among the heirs.,財産は相続人たちの間で平等に分けられた。
equipment,装置；設備,名詞,Team members are provided with equipment and uniforms.,チームのメンバーは道具とユニフォームを提供されます。
escape,逃げる,動詞,"He won't be able to escape from there without a miracle, will he?",奇跡でも起こらない限り、彼はそこから逃げられないんじゃないか。
establish,設立する；制定する,動詞,Our ultimate goal is to establish world peace.,私たちの究極の目標は世界平和を樹立することである。
establishment,設立；制定；施設,名詞,England established many colonies.,英国は多くの植民地を設けた。
estate,土地；財産；地位,名詞,The real estate broker was lavish in his spending in Ginza.,その不動産屋は銀座で気前よく金を使った。
event,出来事,名詞,"In the event of rain, the game will not be held.",雨の場合はその試合は中止となる。
eventually,最終的には,副詞,Everything eventually gets easier with practice.,何事も練習すれば簡単になる。
evidence,証拠,名詞,"As for the accusations of heresy, here the evidence is much weaker.",異端という非難に関しては、ここでの証拠ははるかに弱いものである。
evil,悪,形容詞,That was an evil bunny.,こいつは悪いウサギだった。
exam,試験,名詞,Our professor promised to hold off on the final exam for another week.,教授は期末試験を一週間延期すると約束した。
examination,試験,名詞,Your success depends on whether you pass the STEP examination or not.,君の成功は英検の試験に合格するかどうかにかかっている。
examine,試験をする；調べる,動詞,The doctor used X-rays to examine my stomach.,医者は、私の胃を調べるためにＸ線を用いた。
example,例,名詞,Do the first example in your workbook.,君のワークブックの最初の例題をしなさい。
excellent,非常に優れた,形容詞,You did an excellent job.,君は見事にやってのけた。
exchange,交換する,動詞,The exchange rates for foreign currency change daily.,外貨の為替レートは毎日変わる。
exercise,運動する,名詞,You need to exercise more.,君はもっと運動をする必要がある。
exhaust,疲れさせる,動詞,Inhaling diesel exhaust is bad for our health.,ディーゼルの排気ガスは体に悪い。
exist,存在する,動詞,I don't exist to you.,眼中にない。
existence,存在,名詞,Malaysia came into existence in 1957.,マレーシアは１９５７年に誕生した。
expense,費用,名詞,I paid the bill out of my expense account.,勘定は経費で落とした。
expose,さらす；暴く,動詞,We should sometimes expose our bodies to the sun.,我々は時々日光にさらす必要がある。
exposure,さらすこと；暴露,名詞,I caught cold from exposure to the night fog.,夜霧に当たって風邪をひいた。
extend,引き伸ばす；広げる,動詞,Can you extend your holiday by a few days?,休暇を２、３日延ばせませんか。
extreme,極端な，極度,形容詞,They are the extreme cases.,それは極端な場合だ。
extremely,極めて,副詞,This is an extremely well run company.,我が社は経営が非常にうまくいっています。
fail,失敗する、目標に達成しない,動詞,I don't want to fail my exams.,試験に失敗したくないよ。
faith,信仰；信頼,名詞,It was because she had faith in his capabilities.,というのは彼女が彼の能力を信頼していたからである。
faithfully,忠実に,副詞,He faithfully discharged his duty.,彼は忠実に自分の義務を果たした。
familiar,よく知られた,形容詞,All of you are familiar with the truth of the story.,皆がその話の真相をよく知っている。
famous,有名な,形容詞,"In his fantasy, he imagined he was a famous writer.",空想の中では、彼は有名な作家になっていた。
fan,扇風機；うちわ,名詞,There is a fan on the desk.,机の上に扇風機があります。
fancy,好む；～したい気がする,動詞,I take a fancy to seeing movies.,映画を見るのが好きです。
fantastic,素晴らしい；幻想的な,形容詞,The rocks are weathered into fantastic forms.,岩が風化して奇異な形になる。
fascinate,魅了する,動詞,Blood and violence fascinate them.,彼らは血と暴力に引き付けられている。
fashion,服装,名詞,Long skirts are out of fashion now.,ロングスカートは流行ってないよ。
fault,欠点,名詞,You're always finding fault with me.,君はいつも僕のあら探しばかりしているね。
favor,親切，好む；賛成する,名詞,Are you in favor of the workers getting more money?,君はその労働者たちがもっと給料をもらうのに賛成ですか。
feature,特徴,名詞,The show will be a great feature of tonight's program.,そのショーは今夜の番組の大きな呼び物になる。
february,2月,名詞,"I am very sorry, but I must cancel our appointment for February 27.",恐縮ですが、２月２７日の約束をキャンセルさせてください。
female,女性,形容詞,The socialist was accompanied by a female interpreter.,その社会主義者は女性の通訳を同伴させていた。
fence,フェンス，囲い,名詞,A fence between makes love more keen.,間の垣根が恋をいっそう燃え立たせる。
file,提出する,動詞,Correct the mistake and return the file to Mr Luxemburg.,間違いを訂正した上で、ファイルをルクセンバーグ氏に返却して下さい。
finance,財政；金融，資金,名詞,Those officials don't understand finance at all.,あの役人たちは全然、財政のことはわかっていない。
financial,財政の；金融の,形容詞,Costs of financial services are rising in every country.,金融サービスのコストはどの国でも高くなっている。
firm,堅い；安定した,形容詞,The firm went under due to lack of capital.,会社は資金不足のため倒産した。
firmly,堅く；しっかりと,副詞,We are firmly confident of victory.,我々は勝利をかたく確信している。
flag,旗,名詞,The flag is up.,旗が揚がっている。
flash,閃光，ぴかっと光る,名詞,The flash of lightning precedes the sound of thunder.,稲光は雷の音に先行する。
flight,飛行,名詞,"Ultimately, space flight will be beneficial to all mankind.",究極的には宇宙飛行は全人類に有益なものとなろう。
float,浮く,動詞,The substance is light enough to float on the water.,その物質は水に浮かぶほど軽い。
flood,洪水,名詞,We provided the flood victims with food and clothing.,我々は水害の被害者に食物と衣類を支給した。
flow,流れる,動詞,There is a constant flow of traffic on this road.,この通りは車の流れが絶えない。
fold,折りたたむ,動詞,With great effort she managed to fold one more.,一生懸命頑張ってどうにかもう１羽折ることができた。
folk,人の、民族の,形容詞,That folk singer is very popular with people in general.,あのフォーク歌手は大衆に大変人気がある。
fool,だます,動詞,He is no more a fool than you are.,君と同じく彼は愚かでない。
foreign,外国の,形容詞,It is important for you to learn a foreign language.,君が外国語を学ぶ事は重要です。
forth,前へ；外へ,副詞,"The fire burned brightly, giving forth a comforting warmth.",火は赤々と燃えて実に気持ちの良い暖かさを発散した。
fortune,運；運勢,名詞,There's a fortune in the making for any hard worker.,一生懸命働けばだれでも一財産作れる。
frame,枠組み；骨組み，組み立てる,名詞,The frame itself is worth more than the picture.,額そのもののほうが絵よりも高価です。
fruit,果物,名詞,Do you want fruit juice?,フルーツジュースが欲しいですか?
fund,資金を出す,名詞,Singapore's Central Fund provides pensions.,シンガポールの中央基金は年金を支給する。
furniture,家具,名詞,The furniture was dusty.,家具はほこりをかぶっていた。
future,未来,名詞,I hope you have a happy future ahead of you.,君の将来が幸せでありますように。
gain,得る,動詞,The key question is not what can I gain but what do I have to lose.,鍵となる問題は何を得ることができるかではなく、何を失わなければならないかである。
gate,ゲート；門,名詞,The Golden Gate Bridge is made of iron.,金門橋は鉄でできている。
gather,集会を開く,動詞,You must gather further information.,もっと情報を集めねばならない。
gay,同性愛者,名詞,Is the club gay or straight?,このクラブはゲイ、それともストレートですか。
gear,車のギア,名詞,Do you have rain gear with you?,雨具をお持ちになりましたか。
generation,世代,名詞,Our generation has seen a lot of changes.,われわれの世代の人々はいろいろな変化を見てきた。
gentleman,紳士,名詞,I met a certain gentleman at the station.,駅である紳士に会った。
gift,贈り物；才能,名詞,You have a gift for music.,君には音楽の才能がある。
goal,目的；目標,名詞,You must not lose sight of your goal in life.,人生の目標を見失ってはいけない。
golf,ゴルフ,名詞,We played golf in spite of the rain.,雨にも関わらずゴルフをした。
grab,つかみ取る,動詞,Want to grab a drink on the way home?,会社の帰りに、ちょっと一杯やってかないか。
grade,学年,名詞,What grade are you in?,君は何年生ですか。
grand,壮大な,形容詞,It is quite a grand view.,それは実に雄大な眺めだ。
grant,(願い・要求などを)聞き入れる；付与する,動詞,"Even if I grant that what you say is true, it is no excuse.",仮に君の言い分が本当だとしても、それは言い訳にはならない。
grin,ニヤリと笑う,動詞,The professor grinned.,教授はにっこりと微笑みました。
guarantee,保証，保証する,動詞,Some companies guarantee their workers a job for life.,会社によって労働者は終身雇用を保証しているところもある。
guard,守る；見張る，警備,動詞,Be on your guard against fire.,火には、用心しなさい。
guest,客；ゲスト,名詞,It's almost time for the guest to arrive.,そろそろお客が来る時間だ。
guide,案内する；指導する，案内者；指導者,動詞,He acted as a guide while I was staying in Kyoto.,京都に滞在中、彼は案内役をしてくれた。
guilty,有罪の,形容詞,He hasn't been proven guilty yet.,まだ有罪になった訳ではない。
habit,習慣,名詞,You should try to form the habit of using your dictionaries.,君は辞書を引く習慣をつけるべきだ。
harm,損害，害する,動詞,No harm will come to you.,君がひどい目にあうことはないよ。
height,高さ,名詞,His height is a great advantage when he plays volleyball.,バレーボールをするときは彼の背の高さは強みだ。
hero,英雄,名詞,No man is a hero to his valet.,従者にとっては誰も英雄ではない。
hesitate,ためらう,動詞,Reporters do not hesitate to intrude into people's privacy.,記者達は個人の生活を侵害することにためらいを感じない。
hire,雇う,動詞,"If you are honest, I will hire you.",君が正直なら雇おう。
hook,フック，フックで吊るす,名詞,"I got several bites, but could not hook a fish.",何回か当たりはあったが針にはかからなかった。
hotel,ホテル,名詞,I prefer a hotel by the airport.,空港の近くのホテルを希望します。
identify,確認する；同一視する,動詞,Some people identify success with having much money.,金持ちになる事が成功であると考える人がいる。
identity,アイデンティティ；独自性；身元,名詞,The identity of the lost child was confirmed by its clothes.,衣服からその迷子の身元が確認された。
ignore,無視する,動詞,It's better to ignore his eccentricities.,君は彼の奇行を気にしないほうがよい。
ill,病気で，悪く,形容詞,You are too ready to speak ill of others.,君はよく人の悪口を言う。
illegal,違法の,形容詞,Everybody took a hostile attitude toward illegal aliens.,皆が不法外国人に対して敵対的な態度を取った。
illness,病気,名詞,A sudden illness prevented him from going there.,急病のために彼はそこへ行くことができなかった。
illustrate,説明する,動詞,This diagram will illustrate what I mean.,この図が私の言いたいことを説明してくれるでしょう。
illustration,挿絵；図解,名詞,An illustration may make the point clear.,一例をあげればその点ははっきりするだろう。
image,イメージ；画像,名詞,I asked the student what image he had of black people.,学生に黒人に対するイメージを聞いた。
immediate,即時の；直近の,形容詞,We received an immediate answer to our letter.,我々はすぐに手紙の返事を受け取った。
immediately,すぐに,副詞,Please let me know immediately if you would like to use this computer.,もしも、このコンピューターを使いたいのでしたら、大至急ご連絡下さい。
impress,よい印象を与える,動詞,How does America impress you?,アメリカの印象はいかがですか。
impressive,印象的な,形容詞,The house is not impressive if you're thinking of size.,大きさをお考えならば、その家は立派とは言えません。
improve,改善する,動詞,Try to improve your English.,英語が上達するように努力しなさい。
improvement,改善,名詞,There is need for improvement in your handwriting.,君は字をもっときれいに書く必要がある。
inch,インチ,名詞,Give him an inch and he'll take a yard.,親切にしてやればつけあがる。
include,含む,動詞,The price does not include the case.,価格には箱代は含まれていません。
income,収入,名詞,Your income is about twice as large as mine.,君の収入は僕の収入の約２倍だ。
increase,増える；増加させる,動詞,They announced an increase in tuition fees.,学校は授業料の値上げを発表した。
increasingly,ますます,副詞,Modern finance is becoming increasingly complicated and sophisticated.,現代の金融は一段と複雑かつ高度になってきている。
indicate,指し示す,動詞,Please indicate what action you will take.,貴社の活動方針についてご説明ください。
indication,表示；兆候,名詞,Fever indicates sickness.,発熱は病気の兆候です。
individual,個人，個人の,名詞,Each individual paid 7000 dollars.,一人あたり７千ドル払った。
industrial,産業の,形容詞,Banks are cutting lending to industrial borrowers.,銀行は産業向け貸出を減らしている。
industry,産業,名詞,Six percent home loans represent the industry average now.,金利６パーセントの住宅ローンが現在の業界平均となっている。
influence,影響を与える，影響,動詞,Do you think our climate has an influence on our character?,気候が性格に影響すると思いますか。
injure,傷つける,動詞,Too much smoking tends to injure the voice.,煙草を吸い過ぎると、声を悪くしやすい。
injury,傷害,名詞,An injury put the shortstop out of action.,怪我をしたためにショートの選手は出場できなくなった。
innocent,無邪気な；無罪の,形容詞,The man said he was innocent of the crime.,その男は罪を犯していないと言った。
insist,主張する,動詞,You insist upon our taking that course of action.,君は私たちにそう行動せよという。
instance,例；実例,名詞,This is an instance of modern British life.,これは英国の現代生活のほんの一例だ。
instruction,指示；教育,名詞,We need some formal instruction in literature.,我々には文学の正式な指導が必要だ。
instrument,楽器,名詞,The thermometer is an instrument for measuring temperature.,温度計は温度を測る器具です。
intend,～するつもりである,動詞,I don't intend to be selfish.,自分勝手にするつもりはない。
intense,激しい,形容詞,"Due to the intense sunlight, his back was sunburnt.",強い日差しで彼の背中はひどく焼けた。
intention,意図,名詞,I have no intention of fishing in troubled waters.,漁夫の利を占めるつもりはない。
interview,面接；インタビュー,動詞,How did your interview go?,面接はどうでしたか。
introduce,紹介する,動詞,Allow me to introduce Mr Kato to you.,加藤さんをご紹介します。
introduction,紹介,名詞,Yes. She got an introduction from her old doctor and transferred.,うん。前の先生に紹介してもらって、転院したの。
investigate,調査する,動詞,You should investigate the fact from a medical viewpoint.,医学的な見地からその事実を調査するべきだ。
investigation,調査,名詞,The investigation is under way.,その調査は進行中です。
invitation,招待,名詞,Robert was so busy he had to turn down an invitation to play golf.,ロバートはとても忙しかったのでゴルフの誘いを断らざるを得なかった。
invite,招待する；勧める,動詞,You may invite whomever you like.,誰でも好きな人を招待していいよ。
iron,アイロン，アイロンをかける,名詞,Rust ate away the iron bar.,その鉄の棒はさびてぼろぼろになった。
item,事項；項目,名詞,Each item was described in painstaking detail.,それぞれのアイテムがこと細かに描かれている。
jacket,ジャケット；カバー,名詞,I haven't put on the jacket yet.,まだその上着には手を通してないんだ。
journey,旅,名詞,We set out on our journey full of hope.,私たちは期待に胸をふくらませて旅立った。
joy,喜び,名詞,"What with joy and shame, she blushed to the ears.",嬉しいやら恥ずかしいやらで、彼女は耳まで赤くなった。
july,7月,名詞,"He was born on July 28th, 1888.",彼は1888年7月28日に生まれました。
justice,公正,名詞,Portia tempered justice with mercy.,ポーシャは正義を慈悲で和らげた。
keen,鋭い,形容詞,I was keen on classical music in my school days.,学生時代は、クラシック音楽に夢中でした。
knee,膝,名詞,I'm afraid I have water in my knee joint.,ひざに水がたまっているようです。
knife,ナイフ；刀,名詞,This knife was very useful to me.,このナイフは私にはとても便利でした。
knowledge,知識,名詞,You have knowledge and experience as well.,君には知識があり、また経験もある。
labor,労働，働く；詳細に論じる,動詞,Learning without thought is labor lost.,学んで思わざれば暗し。
laboratory,研究室,名詞,A series of blasts reduced the laboratory to ruins.,一連の爆発で、その研究施設は瓦礫の山と化した。
lack,不足，欠いている,動詞,You must make allowance for his lack of experience.,君は彼の経験不足を考慮しなければならない。
language,言語,名詞,It is almost impossible to learn a foreign language in a short time.,外国語を短期間に習得することはほとんど不可能だ。
lawyer,弁護士,名詞,Ben decided to tell the lawyer everything he knew.,ベンは知っていることをすべて弁護士に話すことにした。
league,同盟；リーグ ,名詞,The League of Nations did not make for peace.,国際連盟は平和に寄与しなかった。
leap,飛び跳ねる，跳躍,動詞,"I am about to take my last voyage, a great leap in the dark.",私は今まさに最後の旅路につき、暗黒へと一大飛躍しようとしている。
legal,合法的な；法的な,形容詞,It is better for you to act by legal means.,あなたは合法的手段で行動する方がよい。
lend,貸す,動詞,Please lend me your car.,君の車を貸してください。
length,長さ,名詞,The local school board would go to any length to ban that book.,教育委員会は何としてでもあの本を発売禁止にするでしょう。
lesson,授業；課,名詞,Resignation is the first lesson of life.,何事も諦めが肝心だ。
library,図書館,名詞,You can enter the library freely.,皆さんは自由に図書館に入れる。
license,免許,名詞,Your driver's license has expired.,君の免許証は期限が過ぎている。
likely,ありそうな；～しそうである；適した,形容詞,"Judging from the look of the sky, it is likely to rain.",空模様から判断すると、雨になりそうだ。
limit,限度；境界，制限する,名詞,There is a limit of two pieces of luggage for each passenger.,各々の乗客には荷物二つの制限がある。
limitation,制限；限界,名詞,She knows her limitations.,彼女は自分の限界を知っている。
loan,貸す，貸付,動詞,You can get a loan from a bank.,君は銀行から金が借りられるよ。
locate,捜し出す；置く；位置する,動詞,I became very nervous when I couldn't locate my passport.,パスポートが見つからなかった時、とてもあせった。
location,場所,名詞,Our guide misinformed us about the location of the hotel.,案内人は私たちにホテルの場所を間違えて教えた。
log,丸太,名詞,The writer is living in a log cabin.,その作家は丸太小屋に住んでいる。
loose,ゆるい；自由な,形容詞,"No money, no job, no friends. He was truly at loose ends.",金もなし、仕事もなし、友達もなし。かれは、ほんとうにとほうにくれた。
loss,失うこと；損害,名詞,I'm at a loss for words.,何と言ったら良いか分かりません。
magazine,雑誌,名詞,Mick killed time by reading a magazine while waiting for his date.,ミックはデートの相手を待っている間、雑誌を読んで時間をつぶした。
magic,手品；魔法,名詞,The prince was turned by magic into a frog.,王子は魔法でカエルに変えられた。
mail,郵便；メール,名詞,Robbers wrecked the mail train.,強盗が郵便列車をめちゃくちゃにした。
maintain,維持する；持続する,動詞,The bureaucrats maintain solid ties with the gigantic corporations.,官僚達は大企業との強固な関係を維持している。
maintenance,維持；整備,名詞,The maintenance of the house costs a lot.,その家の維持にはずいぶんとお金がかかる。
male,男性,形容詞,The male ape is intelligent by nature.,そのオスざるは生まれつき頭が良い。
manner,方法,名詞,Bill's abrupt manner causes him to be misunderstood.,ビルのぶっきらぼうな態度は誤解を生む原因になっている。
map,地図,名詞,Churches are designated on the map with crosses.,教会は地図の上では十字架で表されている。
mass,質量,名詞,There is a mass of dark clouds in the sky.,空には暗雲が立ち込めていた。
massive,巨大な；大量の,形容詞,We came up against massive popular resistance.,我々は大掛かりな大衆の抵抗に直面した。
match,試合,名詞,I am no match for him in diplomatic shrewdness.,外交の駆け引きでは、とても彼には及ばない。
mate,仲間,名詞,Where is the mate to this sock?,この靴下の片方はどこだ。
material,材料，物質,名詞,It is best to review the material before the presentation.,プレゼンテーションの前に資料に目を通しておくのが一番いい。
